emp_id,first_name,last_name,hire_date
100,Steven,King,2003-06-17
101,Neena,Kochhar,2005-09-21
102,Lex,De Haan,2001-01-13
103,Alexander,Hunold,2006-01-03
104,Bruce,Ernst,2007-05-21
105,David,Austin,2005-06-25
106,Valli,Pataballa,2006-02-05
107,Diana,Lorentz,2007-02-07
108,Nancy,Greenberg,2002-08-17
109,Daniel,Faviet,2002-08-16
110,John,Chen,2005-09-28
111,Ismael,Sciarra,2005-09-30
112,Jose Manuel,Urman,2006-03-07
113,Luis,Popp,2007-12-07
114,Den,Raphaely,2002-12-07
115,Alexander,Khoo,2003-05-18
116,Shelli,Baida,2005-12-24
117,Sigal,Tobias,2005-07-24
118,Guy,Himuro,2006-11-15
119,Karen,Colmenares,2007-08-10
